Rating,Price,Original_Price,Discount,Page,Brand,Model,number_of_ratings,number_of_reviews,RAM,Internal_storage
4.4,39999,49999,20%,12,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,12,Google, Pixel 9A,4870,334,8,256
4.0,6999,9999,30%,12,Ai, 128 GB,4818,303,6,128
4.3,15899,17999,11%,12,REDMI, 15 5G,2540,130,8,128
4.4,39999,49999,20%,12,Google, Pixel 9A,4870,334,8,256
4.3,15148,16999,10%,12,REDMI, 15 5G,1178,72,6,128
4.3,15990,17999,11%,12,REDMI, 15 5G,2540,130,8,128
4.3,15990,17999,11%,12,REDMI, 15 5G,2540,130,8,128
4.1,7860,11499,31%,12,Samsung, Galaxy A06,428,22,4,64
4.5,41239,44999,8%,12,OnePlus, 13R 5G,4784,301,12,256
4.3,13120,14999,12%,12,IQOO, Z10 Lite,2849,111,6,128
4.4,14861,17999,17%,12,realme, 14x 5G,8284,417,8,128
4.3,17499,18999,7%,12,realme, P4x 5G,949,114,8,128
4.3,19499,20999,7%,12,realme, P4x 5G,949,114,8,256
4.3,17499,18999,7%,12,realme, P4x 5G,949,114,8,128
4.4,15999,17999,11%,12,realme, P4x 5G,3072,292,6,128
4.4,15999,17999,11%,12,realme, P4x 5G,3072,292,6,128
4.4,15999,17999,11%,12,realme, P4x 5G,3072,292,6,128
4.3,13899,17999,22%,12,REDMI, 13 5G,48634,2407,6,128
4.2,14040,19999,29%,12,REDMI, 13 5G,14482,763,8,128
4.4,23889,24999,4%,12,OnePlus, Nord CE4,27779,1521,8,128
4.4,54999,72999,24%,12,MOTOROLA, Razr 60,1995,143,8,256
4.4,14861,17999,17%,13,realme, 14x 5G,8284,417,8,128
4.3,13899,17999,22%,13,REDMI, 13 5G,48634,2407,6,128
4.4,39999,49999,20%,13,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,13,Google, Pixel 9A,4870,334,8,256
4.2,14040,19999,29%,13,REDMI, 13 5G,14482,763,8,128
4.4,18999,21999,13%,13,realme, P4 5G,12901,891,8,128
4.4,18999,21999,13%,13,realme, P4 5G,12901,891,8,128
4.4,20999,23999,12%,13,realme, P4 5G,12901,891,8,256
4.4,39999,49999,20%,13,Google, Pixel 9A,4870,334,8,256
4.2,9699,10999,11%,13,realme, 128 GB,7929,306,6,128
4.4,23889,24999,4%,13,OnePlus, Nord CE4,27779,1521,8,128
4.4,54999,72999,24%,13,MOTOROLA, Razr 60,1995,143,8,256
4.1,10490,15499,32%,13,Samsung, Galaxy A06,2505,149,4,128
4.4,18999,21999,13%,13,realme, P4 5G,12901,891,8,128
4.3,15425,16999,9%,13,REDMI, 15 5G,1178,72,6,128
4.3,15168,16999,10%,13,REDMI, 15 5G,1178,72,6,128
4.2,12900,17999,28%,13,POCO, M6 Plus,17662,1022,8,128
4.3,22999,49999,20%,13,realme, 15T 5G,5495,365,8,128
4.3,17499,18999,7%,13,realme, P4x 5G,949,114,8,128
4.3,22999,49999,20%,13,realme, 15T 5G,5495,365,8,128
4.2,11327,14999,24%,13,REDMI, 14C 5G,9161,450,6,128
3.9,6799,8999,24%,13,POCO, 64 GB,54664,2462,4,64
4.3,23999,37999,36%,13,POCO, F6 5G,9055,851,12,256
4.3,18369,19999,8%,13,REDMI, 15 5G,2540,130,8,256
4.5,27999,35999,22%,14,realme, P3 Ultra,3728,353,12,256
4.6,49999,74999,33%,14,Samsung, Galaxy S24,49029,2702,8,128
4.4,22999,24999,8%,14,OnePlus, Nord CE4,27779,1521,8,128
4.5,31570,35999,12%,14,IQOO, Neo 10R,2807,182,12,256
4.4,39999,49999,20%,14,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,14,Google, Pixel 9A,4870,334,8,256
4.5,27365,31999,14%,14,IQOO, Neo 10R,5477,354,8,128
4.2,15668,19999,21%,14,Samsung, Galaxy A16,4222,186,6,128
4.4,39999,49999,20%,14,Google, Pixel 9A,4870,334,8,256
4.3,16999,24999,32%,14,POCO, X7 5G,28239,2138,8,128
4.3,19999,27999,28%,14,POCO, X7 5G,28239,2138,8,256
4.0,9480,12499,24%,14,Samsung, Galaxy M06,178,8,4,64
4.3,23470,26499,11%,14,Samsung, Galaxy A17,313,12,8,256
4.5,28999,33999,14%,14,IQOO, Neo 10R,5477,354,8,256
4.3,22999,49999,20%,14,realme, 15T 5G,5495,365,8,128
4.3,13898,17999,22%,14,REDMI, 13 5G,48634,2407,6,128
4.4,15999,20999,23%,14,Motorola, G85 5G,257702,12739,8,128
4.5,29928,33999,11%,14,IQOO, Neo 10R,5477,354,8,256
4.4,24999,28999,13%,14,realme, P4 Pro,16360,1316,8,128
4.4,15999,19999,20%,14,Tecno, Pova 7,8446,644,8,256
4.4,14249,18999,25%,14,Tecno, Pova 7,8446,644,8,128
4.6,58302,62999,7%,14,OnePlus, 13s 5G,1296,101,12,512
4.6,54397,57999,6%,14,OnePlus, 13s 5G,1296,101,12,256
4.6,57988,62999,7%,14,OnePlus, 13s 5G,1296,101,12,512
4.4,39999,49999,20%,15,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,15,Google, Pixel 9A,4870,334,8,256
4.4,18999,20999,9%,15,MOTOROLA, G96 5G,79957,4017,8,128
4.6,53894,57999,7%,15,OnePlus, 13s 5G,1296,101,12,256
4.4,39999,49999,20%,15,Google, Pixel 9A,4870,334,8,256
4.6,52986,57999,8%,15,OnePlus, 13s 5G,1296,101,12,256
4.3,21999,32999,33%,15,MOTOROLA, Edge 50,41668,2965,8,256
4.3,14999,16999,11%,15,Infinix, Note 50x,4734,394,8,128
4.6,80999,49999,20%,15,Samsung, Galaxy S25,2801,314,12,256
4.2,24999,27499,9%,15,Samsung, Galaxy F36,4323,295,8,256
4.7,119900,49999,20%,15,Apple, iPhone Air,55,4,256,128
4.2,10428,13999,25%,15,REDMI, 14C 5G,8622,430,4,128
4.5,41648,44999,7%,15,OnePlus, 13R 5g,4784,301,12,256
4.4,15999,19999,20%,15,Tecno, Pova 7,8446,644,8,256
4.5,27999,35999,22%,15,realme, P3 Ultra,3728,353,12,256
4.4,24635,42999,42%,15,Samsung, Galaxy A55,6017,358,8,128
4.3,19974,23499,15%,15,Samsung, Galaxy A17,313,12,8,128
4.3,19499,20999,7%,15,realme, P4x 5G,949,114,8,256
4.2,10999,13999,21%,15,Samsung, Galaxy F06,38028,2243,4,1500
4.3,35499,38999,8%,15,Samsung, Galaxy A36,1735,134,8,256
4.3,17990,22999,21%,15,Samsung, M36 5G,1632,89,6,128
4.2,12499,15499,19%,15,Samsung, Galaxy F06,19638,1242,6,1500
3.9,8999,12999,30%,15,Ai, Nova 5G,3381,301,8,128
4.5,39999,44999,11%,15,vivo, T4 Ultra,3437,325,12,512
4.4,39999,49999,20%,16,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,16,Google, Pixel 9A,4870,334,8,256
4.2,10428,13999,25%,16,REDMI, 14C 5G,8622,430,4,128
3.9,8999,12999,30%,16,Ai, Nova 5G,3381,301,8,128
4.5,39999,44999,11%,16,vivo, T4 Ultra,3437,325,12,512
4.2,12499,15499,19%,16,Samsung, Galaxy F06,19638,1242,6,1500
4.4,39999,49999,20%,16,Google, Pixel 9A,4870,334,8,256
4.3,17990,22999,21%,16,Samsung, M36 5G,1632,89,6,128
4.5,35999,40999,12%,16,vivo, T4 Ultra,4756,433,8,256
4.5,37999,42999,11%,16,vivo, T4 Ultra,3437,325,12,256
4.6,97990,134999,27%,16,Samsung, Galaxy S24,7439,548,12,256
4.2,15444,19999,22%,16,Samsung, Galaxy A16,4222,186,6,128
4.5,36912,37999,2%,16,OnePlus, Nord 5,1370,99,12,256
4.3,14952,16999,12%,16,realme, 14x 5G,13817,675,6,128
4.4,21499,23499,8%,16,IQOO, Z10R 5G,3213,175,8,128
4.2,105993,164999,35%,16,Samsung, Galaxy Z,218,13,12,256
4.3,13499,14999,10%,16,Infinix, Note 50x,16130,1436,6,128
4.4,25999,33999,23%,16,realme, P3 Ultra,18465,1804,8,256
4.4,23999,31999,25%,16,realme, P3 Ultra,18465,1804,8,128
4.3,14999,16999,11%,16,Infinix, Note 50x,4734,394,8,128
4.3,13499,14999,10%,16,Infinix, Note 50x,16130,1436,6,128
4.4,23976,25999,7%,16,IQOO, Z10 5G,4834,232,8,128
